,tegs,headline,date
447,спорт поздравляем ,Легкоатлеты ЗабГУ завоевали медали на Всероссийской летней универсиаде,20ИЮЛ 2022
448,интересное РЦИО ,Проект ЗабГУ по созданию центра адаптивной физкультуры в финале Всероссийского форума,18ИЮЛ 2022
449,студенты важное ,Студенты-спасатели ЗабГУ отправились помогать беженцам из Украины,18ИЮЛ 2022
450,наука конференции ,Учёных ЗабГУ приглашают к участию во Всероссийской конференции «Ветер Перестройки»,14ИЮЛ 2022
451,важное ,Укрепляйте иммунитет,13ИЮЛ 2022
452,интересное ,ЗабГУ вошёл в число лучших вузов России по уровню зарплат выпускников-экономистов,12ИЮЛ 2022
453,важное абитуриенту ,ЗабГУ заселит в общежития иногородних студентов ,12ИЮЛ 2022
454,образование сотрудничество ,Итоги внедрения курса «Школьные сообщества» представлены в Москве,11ИЮЛ 2022
455,студенты наука ,Экоофисы на предприятиях Забайкалья предложили создать молодые учёные ЗабГУ для...,8ИЮЛ 2022
456,творчество конкурс анонс ,Конкурс видеороликов на тему духовно-нравственного воспитания  пройдёт в ЗабГУ,7ИЮЛ 2022
457,важное абитуриенту ,В ЗабГУ лицензированы новые образовательные программы СПО,7ИЮЛ 2022
458,студенты МинобрРФ ,Студентам ЗабГУ доступен образовательный кредит от Сбера,5ИЮЛ 2022
459,интересное абитуриенту ,В ЗабГУ продолжается приёмная кампания-2022,5ИЮЛ 2022
460,студенты интересное ,Студенты ЗабГУ примут участие в поисковых работах на местах сражений Великой...,4ИЮЛ 2022
461,объявление абитуриенту ,Приёмная комиссия ЗабГУ проведёт выезды в районы Забайкалья,4ИЮЛ 2022
462,студенты интересное ,Студенты ЗабГУ уехали на студстройку на космодром «Восточный»,1ИЮЛ 2022
463,сотрудничество важное ,В ЗабГУ обсудили проект стратегии развития Забайкальского края,1ИЮЛ 2022
464,конференции РЦИО ,Представители РЦИО ЗабГУ выступили на всероссийской конференции о социальном...,30ИЮН 2022
465,спорт поздравляем ,Пловец из ЗабГУ завоевал медали на Всероссийской летней универсиаде,29ИЮН 2022
466,РЦИО ,Специалисты РЦИО ЗабГУ провели чемпионат по настольной игре «Матрёшка»,28ИЮН 2022
467,студенты поздравляем ,Сергей Иванов вручил выпускникам ЗабГУ дипломы с отличием,28ИЮН 2022
468,студенты поздравляем ,Поздравление выпускникам ЗабГУ – 2022,28ИЮН 2022
469,студенты ВоеннаяКафедра ,Сотня курсантов ВУЦ пройдёт подготовку на военном полигоне,27ИЮН 2022
470,поздравляем ,Поздравление ректора ЗабГУ с Днем молодёжи в России,27ИЮН 2022
471,,Скончался ветеран университета Виталий Киселёв,27ИЮН 2022
472,поздравляем ,Сергей Иванов вручил награды сотрудникам вуза за вклад в развитие высшего образования,24ИЮН 2022
473,сотрудничество ,Энергетиков приглашают на работу в компанию «Россети»,24ИЮН 2022
474,студенты анонс ,Выпускникам ЗабГУ вручат дипломы с отличием на площади им. Ленина ,24ИЮН 2022
475,образование важное ,ЗабГУ сохраняет статус федеральной инновационной площадки,23ИЮН 2022
476,ДеньПобеды НаучныйПолк ,Научный полк: о мемориальной аудитории ЗабГУ,22ИЮН 2022
477,объявление акция ,Представители ЗабГУ могут присоединиться к акции «Лучи Победы»,21ИЮН 2022
478,важное абитуриенту ,ЗабГУ выделены дополнительные бюджетные места для магистрантов,20ИЮН 2022
479,анонс РЦИО ,Выпускники с ограниченными возможностями высадят деревья на инклюзивной аллее ЗабГУ,20ИЮН 2022
480,ДеньПобеды НаучныйПолк ,Софья Синица: воспоминания о Великой Отечественной войне,17ИЮН 2022
481,объявление РЦИО ,В Забайкалье пройдёт чемпионат по настольной игре «Матрёшка»,17ИЮН 2022
482,студенты поздравляем ,Фильм студентов ЗабГУ удостоен специального диплома международного видеофестиваля...,16ИЮН 2022
483,важное абитуриенту ,В ЗабГУ стартовал основной этап приёмной кампании 2022,16ИЮН 2022
484,конференции важное ,В Москве обсудили вопросы оттока молодёжи с Дальнего Востока,15ИЮН 2022
485,ДеньПобеды НаучныйПолк ,"Владимир Салихов: «Мечтал стать летчиком, но выбрал геологию»",15ИЮН 2022
486,студенты РЦИО ,Представители ЗабГУ приняли участие в региональном социальном форуме ,15ИЮН 2022
487,сотрудничество важное ,ЗабГУ посетила делегация монгольского университета Дорнод,15ИЮН 2022
488,ДеньПобеды НаучныйПолк ,«Научный полк»: от домашнего обучения до звания академика,14ИЮН 2022
